,City,Latitude,Longitude
506,Москва,55.7538789,37.6203735
782,Санкт-Петербург,59.939125,30.315822499999996
643,Новосибирск,55.02810160000001,82.92105749999999
828,Екатеринбург,56.8386326,60.6054887
615,Нижний Новгород,56.3242093,44.0053948
924,Казань,55.794387699999994,49.1115312
778,Самара,53.195165700000004,50.1067691
652,Омск,54.9848136,73.3674638
1060,Челябинск,55.160365899999995,61.4007858
753,Ростов-на-Дону,47.2224364,39.7187866
62,Уфа,54.734853,55.9578647
121,Волгоград,48.7072005,44.5170207
702,Пермь,58.0103211,56.23417779999999
410,Красноярск,56.009466,92.85241620000001
159,Воронеж,51.6592378,39.1968284
797,Саратов,51.530376000000004,45.953025700000005
380,Краснодар,45.040234999999996,38.976080100000004
780,Тольятти,53.520643799999995,49.389461
4,Барнаул,53.3481145,83.7798362
995,Ижевск,56.8527444,53.2113961
1004,Ульяновск,54.3080674,48.3748717
713,Владивосток,43.1163807,131.882348
1111,Ярославль,57.6216145,39.897878000000006
222,Иркутск,52.2863513,104.28065500000001
991,Тюмень,57.1530824,65.5343118
177,Махачкала,42.98485720000001,47.504630299999995
1011,Хабаровск,48.4647991,135.0598811
662,Оренбург,51.7875191,55.101737899999996
321,Новокузнецк,53.7942757,87.2144046
315,Кемерово,55.3909721,86.0467864
